PRODUCT_LINE,INDEX,NAME,BOARDID,BOMREV,DESC,FILE,T1FILE,QRCHECK,SW_ID
UniFiProtect,0,UFP-SENSE,a912,113-02823,UniFi Protect Sensor,ufp_efr32_factory.py,,False,000d,1601
UniFiProtect,0,UP-GARAGE,a915,113-03452,UniFi Protect Smart Garage Door Control,ufp_efr32_factory.py,,True,000d,1604,client_rpi4_release_hk_20210412
UniFiProtect,0,Viewport,e980,113-02900,UniFi Protect viewport,connect_apq8053_factory.py,,True,client_rpi4_release_20210911,0009,1701
UniFiProtect,0,UP-Chime,ab12,113-03302,UniFi Protect Chime,ufp_esp32_factory.py,,False,000d,1604
UniFiAP6,0,UX,a667,113-01184,UniFi Express,u6_ipq5018_bspfactory.py,u6_ipq5018_mfg.py,mac-qr-ac,0601
UniFiAP6,0,U6-Lite-00773,a612,113-00773,UniFi AP6 LITE,u6_mt762x_factory.py,u6_mt762x_mfg.py,True,0004,0601
UniFiAP6,0,U6-LR-00742,a640,113-00742,UniFi AP6 LR,u6_mt762x_factory.py,u6_mt762x_mfg.py,True,0004,0601
UniFiAP6,0,U6-Lite,a612,113-01076,UniFi AP6 LITE,u6_mt762x_factory.py,u6_mt762x_mfg.py,True,0004,0601
UniFiAP6,0,U6-Enterprise,a654,113-01164,UniFi AP6 Enterprise,u6_ipq5018_bspfactory.py,u6_ipq5018_mfg.py,True,0004,0601
UniFiAP6,0,U6-Plus,a642,113-01181,UniFi AP6 Plus,u6_mt7981_bspfactory.py,u6_mt7981_mfg.py,True,0601
UniFiAP6,0,U6-LR-00742,a614,113-00742,UniFi AP6 LR,u6_mt762x_factory.py,u6_mt762x_mfg.py,True,0004,0601
UniFiAP6,0,U6-LR-00744,a620,113-00744,UniFi AP6 LR,u6_mt762x_factory.py,u6_mt762x_mfg.py,True,0004,0601
UniFiAP6,0,U6-Extender,a653,113-01083,UniFi AP6 Extender,u6_ipq5018_bspfactory.py,u6_ipq5018_mfg.py,True,0004,0601
UniFiAP6,0,U6-Lite-01141,a612,113-01141,UniFi AP6 LITE,u6_mt762x_factory.py,u6_mt762x_mfg.py,True,0004,0601
UniFiAP6,0,U6-LRPLUS,a643,113-01183,UniFi AP6 Long Range Plus,u6_mt7981_bspfactory.py,u6_mt7981_mfg.py,True,0601
UniFiAP6,0,U6-LR-01078,a620,113-01078,UniFi AP6 LR,u6_mt762x_factory.py,u6_mt762x_mfg.py,True,0004,0601
UniFiAP6,0,U6-Enterprise-IW,a656,113-00956,UniFi AP6 Enterprise IW,u6_ipq5018_bspfactory.py,u6_ipq5018_mfg.py,True,0004,0601
UniFiAP6,0,U6-Infinity,a655,113-10897,UniFi AP6 Infinity,u6_ipq5018_bspfactory.py,u6_ipq5018_mfg.py,True,0004,0601
UniFiAP6,0,U6-IW,a652,113-10745,UniFi AP6 InWall,u6_ipq5018_bspfactory.py,u6_ipq5018_mfg.py,True,0004,0601
UniFiAP6,0,U6-PRO-01115,a650,113-01115,UniFi AP6 PRO,u6_ipq5018_bspfactory.py,u6_ipq5018_mfg.py,True,0004,0601
UniFiAP6,0,U6-PRO-OUTDOOR,a675,113-01208,UniFi AP6 PRO Outdoor,u6_ipq5018_bspfactory.py,u6_ipq5018_mfg.py,True,0004,0601
UniFiAP6,0,U6-Enterprise,a654,113-10898,UniFi AP6 Enterprise,u6_ipq5018_bspfactory.py,u6_ipq5018_mfg.py,True,0004,0601
UniFiAP6,0,U6-Mesh,a651,113-10743,UniFi AP6 Mesh Point,u6_ipq5018_bspfactory.py,u6_ipq5018_mfg.py,True,0004,0601
UniFiAP6,0,UXP,a674,113-01184,UniFi Express Mesh,u6_ipq5018_bspfactory.py,u6_ipq5018_mfg.py,mac-qr-ac,0601
UniFiAP6,0,U6-PRO-00963,a650,113-00963,UniFi AP6 PRO,u6_ipq5018_bspfactory.py,u6_ipq5018_mfg.py,True,0004,0601
UniFiAP6,0,U6-Extender,a653,113-10746,UniFi AP6 Extender,u6_ipq5018_bspfactory.py,u6_ipq5018_mfg.py,True,0004,0601
UniFiDC,0,UDC-CONSOLE,e961,113-02618,UniFi Data Center Console,uck_apq8053_factory.py,,True,0c01
Connect,0,LVDU-1,ec48,113-03435,Low Voltage Distribution Unit 1 Port,connect_esp32_factory.py,,True,0012,1d01
Connect,0,UC-Plug-US,ec5a,113-00997,UniFi Connect Plug US,uc_esp32_factory.py,,True,0011,1c01
Connect,0,UC-Outlet-US,ec5d,113-01020,UniFi Connect Outlet US,uc_esp32_factory.py,,True,0011,1c01
Connect,0,ULED-BULB,ec4a,113-03634,,uled_esp32_factory_nonekey.py,,True,0011,1c01
Connect,0,UC-AUDIENCE,ec80,113-03523,UniFi Connect Audience,uc_qcs403_factory.py,,True,0a01
Connect,0,UC-THERMOSTAT,ec47,113-03232,,ufc_esp32_factory.py,,True,0011,1c01
Connect,0,UC-E-INK-10,ec1e,113-03279,UniFi Connect E Ink 10,ut_utmove_factory.py,,True,0a01
Connect,0,UCD-7,ef87,113-03383,UniFi Connect Disply 7 (BLE/WiFi),connect_apq8053_factory.py,,True,1c01
Connect,0,UCD-13-B,ef81,113-03182,UniFi Connect Display 13 (BLE),connect_apq8053_factory.py,,True,1c01
Connect,0,UC-THERMOSTAT-newant,ec47,113-03777,,ufc_esp32_factory.py,,True,0011,1c01
Connect,0,ULED-BULB-Color,ec4b,113-03634,,uled_esp32_factory_nonekey.py,,True,0011,1c01
